[2025-10-04 15:49:54,199: INFO: main: Welcome to our custom log]
[2025-10-04 22:53:28,402: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 22:53:28,405: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 23:00:02,041: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-04 23:00:02,046: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-04 23:00:02,048: INFO: common: created directory at: artifacts]
[2025-10-04 23:00:02,050: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-04 23:00:02,052: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-04 23:49:05,608: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-16 17:07:12,111: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-10-16 17:07:12,126: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 17:07:12,142: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 17:07:12,145: INFO: common: created directory at: artifacts]
[2025-10-16 17:07:12,145: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 17:07:12,146: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-16 17:07:24,360: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-16 17:07:27,307: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
